RegionName,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10
La Salle,110200,108000,105300,104300,103600,102600,101400,100900,100900,100700,100600,100400,99900,98900,97700,95900,95000,95200,96200,97000,97400,97600,97300,95900,94900,95500,96200,96300,96200,95900,95800,95900,96000,95300,94900,95300,95400,94800,94600,94400,93800,93600,93900,94100,93900,93900,93600,93300,92900,92600,92300,92500,92600,92700,92900,93600,94100,94600,95100,94900,94600,94600,95000,95000,94900,94600,94300,93700,93200,93500,93800,93600,93400,93700,94600,96300,98300,99200,98600,97600,97300,97200,97500,98400,99400,100200,101200,101900,102000,102000,102400,103100,103500,103700
Kankakee,127600,126300,125500,124600,123100,121100,119300,118000,117200,116500,115600,114600,114100,113600,113300,113500,114700,115900,116900,118500,121200,123700,126000,128300,130600,132300,134100,136200,139600,144100,147800,147500,143200,137900,133200,128400,124100,121000,118000,115200,112200,109200,106700,105300,105200,105400,105700,106400,107400,108300,109900,112200,114200,115400,116200,116900,117300,117200,117400,118300,119300,119000,118200,116700,114300,112500,111800,111700,112300,113500,114200,114300,114200,114800,115800,116900,117900,118400,118300,118500,118900,119000,119400,120300,120700,121000,121100,120900,120700,120800,121000,121300,121300,121100
Macon,96200,95100,97700,99100,100000,100600,100900,100000,98200,96000,93800,91400,88600,85500,82800,80700,78800,77200,76100,75400,74800,74800,75100,75500,75700,75300,74700,74500,74600,75000,75600,75600,75700,76300,76800,77100,77300,77100,77000,77000,77200,77300,77200,76700,76200,76200,76200,76100,75700,75000,74400,74200,73900,73500,73500,73900,74600,75500,76300,77400,78600,79300,79700,79800,80200,80900,81500,81700,81500,81200,80700,80200,79300,77800,76000,74500,73200,71700,69700,67600,65600,63900,62800,62000,60900,59500,58400,57400,56600,56500,56900,57500,57900,58200
DeKalb,157600,157300,157200,156800,154500,151400,149600,149400,149300,148700,147900,146600,145100,143400,141800,140000,138400,137400,137000,136200,135500,134700,134500,134900,135000,134400,133500,132400,131400,130900,130800,131200,131400,131200,130800,130100,129300,128400,127400,129000,133200,136900,138000,138700,139500,141100,139300,136400,136400,138900,139700,139800,139600,139600,140800,142400,143200,143300,143900,144700,145000,145000,145300,145000,144500,144700,145700,146700,147400,147800,148200,148600,148600,148500,148500,148500,148700,149300,150100,150800,151100,151200,152200,153300,153600,153700,154500,155600,155900,155800,156000,156500,157100,157500
Adams,96200,96800,97200,97300,97700,97500,96600,96200,96300,96600,96800,97200,97800,98300,98000,97400,96600,96100,95700,95300,94800,94100,92800,91800,91500,91400,91200,90600,90100,89900,90100,90800,91300,91400,91700,92500,93200,93500,93500,93300,93500,94500,95500,95600,95500,95700,96000,96500,97400,98400,99800,100900,101200,101800,102700,103200,103400,103500,104000,104700,105200,104900,104500,103800,103000,102400,102200,102000,102000,102200,102500,102900,103900,105400,106600,107400,107900,108100,107900,107500,106900,106600,106700,106900,106600,106400,106600,107800,109000,109100,108300,108300,109400,110800
Williamson,80800,82000,82000,80900,78900,77800,77400,76100,74700,74800,75300,75700,76500,77300,77700,77600,77600,78000,78800,79800,80800,80100,78200,76500,75300,74000,73500,74500,75900,75300,73500,72200,71900,72100,72600,72700,72000,72500,74300,75700,76400,77000,77900,79700,80100,79200,79500,80600,80700,79900,79200,79200,79500,79800,80200,80700,81700,82600,83200,83600,84100,84800,86100,87100,87900,88700,89500,89800,90100,90600,91200,91700,91800,91600,91000,90100,89600,89700,90200,90200,90900,92800,94300,94500,94600,95100,95600,95700,95700,96200,96700,97600,98400,99200
Jackson,116500,122700,127400,131400,134500,137000,139700,141900,143200,144400,145900,144600,141100,138700,136700,133500,130000,126500,122300,118100,114100,110600,107600,104500,101100,97700,94800,92800,91500,90400,89700,90000,91200,93000,94800,96100,96900,98200,100100,101300,101500,101200,101100,101000,100600,99700,98400,96100,93100,90500,88900,87700,86500,85400,84500,83800,84000,84600,85200,85400,85700,85900,86200,86500,87200,87800,88100,88800,89500,90000,90300,90200,89200,88000,86900,86000,85200,85300,86000,86200,85900,85800,86000,86300,87100,88200,89800,91300,91500,90000,88200,87500,87300,87100
Whiteside,83100,82500,83100,83200,83300,83600,83800,83800,83700,83500,83000,82700,82600,82600,82800,83200,83000,82500,82200,82200,82200,82400,82400,82300,82600,82900,83300,83100,82800,82700,82600,81600,80400,79700,79200,78700,78600,78600,78200,77900,78000,78100,77900,77300,76800,76300,75900,75900,76300,75900,74700,74000,74000,74400,75400,77300,79300,80600,81500,81600,80700,79200,77600,76700,76500,77100,77800,78000,78000,78700,79200,79900,81300,82900,84200,84900,85100,84900,83700,83500,84900,85500,85100,85800,87000,88100,89100,90200,91000,91400,91600,91600,90300,88700
Boone,145900,141600,139800,139100,140000,141300,142300,142400,141200,139500,137400,135400,133800,132400,130300,128500,127400,126600,124900,122200,120400,120000,119600,119600,119400,119100,119000,118900,118400,118400,118700,119300,119400,118900,119100,120000,120600,121100,121400,121100,120100,119300,119200,119100,119100,119500,119700,119500,119400,119700,120500,121700,122500,122600,123300,125400,127700,128900,129200,129300,129700,130300,130800,131400,132100,133000,133700,134100,134600,135400,136200,137500,139000,140400,141500,142100,142600,142900,142800,142900,143900,144700,145700,147100,148600,149200,149600,150300,151100,151700,152300,152500,151600,150400
Coles,79600,77300,78600,78500,78100,77900,78300,78600,78900,78900,78500,79100,80500,81200,80800,80400,79700,79100,78700,78500,78500,78500,78200,78200,78800,79100,78900,78700,78800,79100,79000,78800,78900,79000,78600,78900,80000,81000,81700,82100,82000,81700,81500,81200,81100,80800,79700,79300,79700,79900,79500,79400,79500,79500,79700,80300,81000,81400,81600,82500,83700,84200,84200,84400,84100,83500,83600,83600,82900,81800,80600,79700,79400,79000,78700,78700,78600,78100,77900,78600,79400,79500,79900,81300,83200,84600,85700,85900,86200,86600,86600,85100,84000,83600
