RegionName,State,Metro,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10
McLean,IL,Bloomington,76200,77100,78100,79300,80200,80400,80700,81100,81200,81200,81200,80900,80600,80100,79700,79700,79800,79800,80000,80700,81000,81000,81200,81500,81700,81900,81900,82100,82500,82900,83300,83900,84400,84700,85100,85200,84600,84400,84600,84900,85500,86900,87600,87600,87900,88400,89000,89700,90200,90900,91600,91100,89800,89100,88800,88500,88600,88700,88800,89300,90100,90500,90200,89900,90000,90000,89900,90000,90000,90200,90700,91100,91500,91800,91900,92100,92000,92000,92700,93500,94200,94900,95400,95400,95200,95300,96000,96600,97400,97900,97800,97500,97400,97300,97400,97500,97300,97000,97200,97600,97800,97800,98100,98500,98900,99500,99700,99700,99800,100000,100000,100300,100600,100600,100200,100200,100300,100300,100300,100400,100800,101200,101400,101000,101000,101600,102400,102800,102700,102500,102900,103800,104200,104000,103700,104000,104400,104500,104800,105500,106000,106000,106100,106400,106000,105700,105700,105800,106000,106200,105900,104900,103900,103500,103200,102800,103600,104700,105500,106100,106400,106300,106200,106000,106300,106600,105800,104200,103100,102400,102000,101800,101800,101500,100700,100100,100100,99800,99400,99500,99500,99300,99300,99100,98500,98400,98800,99600,99900,100000,100200,100400,100500,100900,101100,100400,99700,99600,99600,99500,99700,99900,100200,100700,100900,100400,100100,100000,99800,99200,98600,98200,97800,97400,97700,97900,97300,96700,96500,96700,96900,97700,99200,100500,100500,99900,99300,99300,99500,99400,99300,99600,100200,100500,99900,99300,99300,99800,100000,99900,99400,98800,98300,98200,98600,99300,99200,98500,98500,100000,101500,101900,103600,106600,108300,108300,108400,108000,107500
Rock Island,IL,Davenport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185800,185600,184100,184800,182000,175100,170600,170900,171000,170900,170700,170900,171600,172600,174400,177100,175000,169100,166700,167900,168600,170000,171500,171500,171900,172400,173100,174300,172700,169700,168400,168800,169400,171300,171100,169600,168800,168600,169700,172300,171900,168000,166300,167700,168600,168700,168800,169700,168900,167100,166900,168800,167400,164000,162600,163700,164200,164700,165300,166300,168000,168000,166000,165400,164300,160900,157900,157100,156100,153500,149800,146700,144500,142000,140600,140700,139300,136700,136500,137100,136000,136500,139600,142500,143800,147600,152700
Tazewell,IL,Peoria,,,,,,,,,,,,,,,,,106400,105000,104600,103700,102000,100500,99500,98600,97500,96400,95300,94900,95100,95600,96700,97900,98900,100000,101200,102600,103800,104900,105400,105800,107000,108400,108400,108200,108400,108800,110000,111300,111300,110700,110800,111600,111800,111600,111400,111300,111500,112100,112600,112600,113800,114900,115100,114700,113900,112200,111500,111600,110900,109000,107200,106700,107500,108400,109200,110600,112900,115000,116400,117400,118300,119300,120500,121300,121200,120700,119900,118700,117400,116500,116300,116600,117400,118700,119900,120800,121200,122100,123600,125200,126700,128200,129300,130600,132600,133800,133800,133700,134100,134500,135000,134900,133900,133200,133500,133400,133300,133700,133800,133700,133600,133000,132500,132700,133600,134700,135500,135900,135900,135900,136600,137700,137800,137800,138200,138300,138500,139400,140300,140600,140100,140500,141700,141500,141200,141600,141500,140200,138800,137000,135200,133800,133300,132800,131600,130100,129000,128900,129400,129900,130300,130500,130200,130200,129200,126800,124500,124900,126100,126100,125200,124800,124800,124900,125000,124900,125500,126700,127700,128300,128800,128600,128000,127900,127700,126600,125700,125100,124400,124300,124300,123800,123700,124200,125100,125800,126400,127200,127900,128500,128300,127800,128100,129100,129400,129100,128300,127400,127100,126900,127100,127900,129000,129300,129500,129700,129800,129700,129400,129100,129600,131200,132400,133000,133900,134300,133600,132900,133000,134000,135800,137100,136600,134800,132800,131000,129900,129500,129600,129400,128500,127600,128200,130100,132000,133100,133400,133200,133600,135600,137300,136900,135300,134100,132700,130600,128200,127100,127000
Kendall,IL,Chicago,116400,116600,117200,117500,117400,117100,117400,118300,118800,118900,119500,121200,122600,123100,123100,123200,123100,123000,123000,123300,123000,122800,122600,122200,122000,122300,122800,123000,122900,123200,123500,123400,123700,124400,125000,125700,126600,127300,127500,127300,127500,128000,128300,128200,128300,129200,130700,131800,132400,133000,133600,134100,134600,135000,135000,134800,135400,135900,136000,135800,135900,136500,137200,138100,139500,140800,142100,143500,144600,145000,145700,146500,146800,146700,147200,147700,147900,148100,148700,149800,150700,151300,151900,152700,153600,153900,154000,154600,155800,156600,157800,159000,159900,160700,161300,161900,162900,164200,165600,166800,167800,169200,170700,171500,172300,173500,174500,175600,176900,178300,179900,181700,183000,183100,182600,182700,183300,183700,183800,183400,183200,183800,184400,184500,185000,185800,186200,186500,186700,186600,186900,187700,188100,187900,187200,186100,184600,183500,182700,181600,180600,180100,179200,178500,177800,176800,175600,174400,173200,172100,170700,169200,168100,167100,166200,164700,162900,161300,159500,157300,155400,154100,153200,152600,151300,149200,147700,146400,144700,143000,141500,141100,141400,140700,138900,136700,135200,134500,134000,133400,131700,129200,127400,125900,123400,120900,119900,119400,118700,117300,115200,112600,110900,110500,110600,110900,111200,111300,111400,111400,111000,110400,110300,110600,111500,112400,112000,111000,110800,111200,111600,111900,112100,112200,112600,114100,116000,117700,119000,120000,120800,121500,121600,122000,122900,123600,124300,125300,126400,127400,128600,129500,130500,131800,133100,134100,135300,136800,138400,139100,138700,138400,139000,139800,140000,140100,140500,140600,141100,142200,143100,144000,145400,147000,147900,148500,149400,150900,152100
La Salle,IL,Ottawa,142500,142500,142500,142400,142400,142400,142400,142400,142400,142400,142500,142500,142500,142500,142500,142400,142400,142400,142400,142400,142400,142400,142500,142500,142500,142500,142500,142400,142400,142400,142400,142400,142400,142400,142500,142500,142500,142500,142500,142400,142400,142400,142400,142400,142400,142400,142500,142500,142500,142500,142500,142500,142400,142400,142400,142400,142400,142400,142500,142500,142500,142500,142500,142500,142400,142400,142400,142400,142400,142400,142500,142500,142500,142500,142500,142400,142400,142400,142400,142400,142400,142400,142500,142600,142600,142600,142500,142500,142400,142400,142300,142200,142100,142000,142300,142600,142600,142500,142500,142500,142500,142300,142300,142200,142000,142100,142500,143000,143000,142900,142800,142700,142500,142400,142300,142100,141700,141500,142000,142600,142700,142500,142400,142400,142400,142500,142500,142500,142200,142000,142500,143300,143400,143400,143300,143100,142900,142500,142100,142100,141000,135500,127200,121300,119300,118800,118600,118400,118600,118900,119200,118800,120800,126000,131400,134600,136300,136400,136200,135100,132600,129600,127100,124900,122100,119300,117900,116500,114400,112900,112100,110900,109600,109300,109300,109100,109000,109500,109300,108300,107300,106300,105100,105100,105900,106800,107100,106900,106900,107200,107300,108100,108700,108600,107400,107100,108000,109100,109300,109500,108600,107200,106400,105000,103400,102800,103300,103400,103200,102700,102700,103100,103200,103000,103300,104000,104400,104200,104400,104900,105300,105200,105000,104800,104700,104700,105200,106500,108100,110100,112100,113500,113500,112500,111900,111700,111800,112100,112500,112800,113800,115100,115500,114500,112900,112000,111700,112900,115300,117100,118300,119300,119900,119800,119500,119300,120000,121300,122200
Macon,IL,Decatur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133200,132000,129800,127400,123100,117600,112900,110200,108700,108000,106900,105200,103700,102900,103100,103200,102100,102200,103900,105100,104500,103900,103900,105000,106200,107300,108300,109900,110500,109800,108600,108700,108700,108500,107600,106700,106400,107000,107800,109300,110600,110200,109400,109300,108800,108200,107500,106300,104200,102300,101600,102600,103200,102900,103000,104000,104500,104500,105200,106200,107000,107500,107700,107500,107000,105800,105000,104800,103500,100900,97500,94100,91000,88300,85700,83800,81900,79500,77000,74500,73400,74300,76300,77900,79400,79700,79300
DeKalb,IL,Chicago,129600,130600,130500,129900,128700,127300,125500,123000,119800,116700,113500,110800,108300,105600,102100,98600,95000,91800,88800,86000,83200,81000,79200,78300,78200,78500,78800,79700,81100,83200,85800,88700,91800,95400,100500,100800,96000,93900,96700,98900,100600,102000,102900,103500,103500,103100,102700,102000,101000,99800,98200,97000,96000,95000,94700,94900,96100,97700,98600,99400,101100,102000,101600,101900,103000,104100,104100,104600,106100,107200,107400,108400,110200,111300,112200,112800,112200,111000,110500,110100,109300,109100,109400,110300,111600,113300,114600,115600,116400,117500,118300,118900,119300,119500,120200,121100,122300,123900,125400,126600,128600,130600,132400,134000,135200,136100,136700,136900,136600,135900,135600,135800,136500,137500,138700,139700,140200,140400,140600,140600,140300,140000,140500,141400,142400,143300,144200,144200,143800,143600,143500,143800,144400,144300,144000,144300,143800,142400,141000,140000,139000,137700,136500,136100,135800,135600,135400,134200,131600,129700,128400,127200,127100,128200,129000,128500,127700,128000,127800,125900,124100,123500,122700,122200,122000,121600,121400,121100,120600,118800,116100,114000,113000,111200,109100,108100,107400,106400,105200,104900,105200,105100,103900,103200,103100,102700,101700,100900,100100,98100,95200,92600,91200,90500,89800,90500,91800,92400,93000,94200,94300,93800,93700,93900,93400,92700,93300,93200,92400,92900,94700,93000,90700,91300,93700,94000,93800,94200,95100,96300,97300,96900,96500,97400,98800,99500,99900,100300,100100,99600,99700,100400,100700,100700,100500,100600,100400,100300,100500,101100,102200,103800,105000,104200,103300,103700,104200,105000,106000,105400,104700,105300,105900,105900,105800,105800,106000,107200,108700
Vermilion,IL,Danville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82200,82200,81300,78900,77200,76900,76900,76400,76300,75800,75000,74400,73600,72100,70800,69800,69100,69500,70700,71400,72100,72700,72700,72400,72500,72200,71700,71100,71100,71300,71600,72000,72600,73300,73400,72900,73300,74800,75500,75200,75300,75600,75900,76100,75600,75500,76200,77100,76200,75100,74500
Whiteside,IL,Sterling,,,,,,,,,,,,,,,,,,,,,,,115200,114700,108900,106000,106800,109500,111500,111200,107800,104700,105100,109700,111500,112500,114600,116300,117400,118500,117400,116500,117600,119100,119100,117500,115700,114000,114100,116500,117900,117900,118400,119500,122200,124700,125700,124800,124800,125600,127400,127500,126500,125500,125200,125600,126300,123500,115900,109300,106500,104900,103600,103900,105700,105600,103700,102800,103700,105600,109500,111800,110300,109300,110400,111400,112000,112600,114400,116400,117300,118700,121100,123000,124500,126300,127500,127900,128400,128800,128200,126000,123600,121100,120300,122800,126500,128200,127100,124100,121300,120400,121100,122600,123600,124800,125900,126100,126100,126700,128100,129500,130600,131000,131300,131700,132400,132000,131600,131900,132600,132600,132000,131600,131400,131800,132800,133000,133000,135600,139100,141500,142300,142700,143600,145000,146000,146200,145900,145600,145100,143700,142900,142500,142100,141400,140100,138300,136900,136700,138300,139700,140500,141200,138900,134900,132400,132200,132400,133400,134300,135000,134400,133300,132000,130000,127900,126900,127200,128100,128400,127700,127200,127400,127300,126600,126200,126300,127500,129400,130200,130100,131200,133000,133300,131800,129800,128400,127500,127000,125900,123900,121200,119400,118200,117000,115600,114600,114000,113700,114000,114100,114100,114000,114500,114400,114100,115000,116900,119600,123100,126600,128700,129900,129600,128100,125500,122200,119400,117200,115900,115500,116100,116500,115800,114200,112800,111600,111500,113100,115400,116400,116500,113900,111200,109800,108200,107100,110700,116600,121100,123200,121900,119900,119100,117900,115100,114000,114000
Boone,IL,Rockford,145600,142700,142000,141600,138200,137600,138600,138500,137600,136600,135600,134800,134500,134600,134700,136900,140400,142500,143700,144800,146100,147100,148100,148700,150500,152900,154000,152600,152100,151700,149200,145400,143200,142400,142400,141400,140300,139700,139000,138600,139300,140000,141100,143000,144600,147500,151600,152800,152600,152900,152500,151900,152100,151800,152100,153400,155100,155300,154500,154200,154600,154700,155300,154900,153500,153400,153500,153500,153500,153800,153000,154600,157500,159700,160900,161800,161000,160900,162000,162600,161900,161500,160900,160400,159900,160300,161300,162500,163600,164100,165000,166600,168500,170300,172500,174900,176100,175500,175100,176400,178100,179100,179300,178400,176800,176400,176500,176300,176600,178100,179300,180300,181000,182600,185400,189600,195000,199400,201900,201700,201800,204200,207100,207400,209600,210300,207600,206100,207300,206600,204300,202100,200900,201000,201400,202800,204600,206800,209100,208500,206400,206200,207000,206900,205000,200000,193800,190500,189500,188200,186500,184600,183900,185200,186300,185700,185300,183300,183000,182100,178200,172200,167500,165700,161500,153600,149200,150900,152000,153000,152400,150100,147900,147200,146900,145800,144500,144200,143300,140700,138700,138200,137100,135800,134100,133500,133100,131000,128300,127700,128200,128700,128100,126000,125300,126600,128100,128900,129900,131700,133500,134200,134200,132900,131400,132200,134100,135400,137000,138000,137800,137400,137500,137000,135900,135300,135200,135500,135500,134900,134600,134800,135100,136600,138600,141100,142500,143600,146500,149600,151300,152200,152900,153200,153400,152400,152700,153200,152300,151400,150800,149600,147900,146700,145800,145900,146700,148400,149800,150800,151300,151800,152100,153000,154600,155700,157000,158100,158300
Grundy,IL,Chicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136400,137000,137300,138700,141100,142900,144600,146200,147700,149100,150400,152000,154900,157700,158800,158200,157600,157300,157600,157700,157500,156800,156300,156400,156700,156900,157800,159200,159900,160000,159400,158400,156400,155800,157600,159700,159700,158800,158000,157600,157200,156400,155300,154900,155000,154300,153100,152100,152000,152500,153100,154100,156500,159200,159700,158600,159500,160500,159600,157500,154400,150800,148900,148800,146800,143500,142100,142700,143100,143400,143000,141800,141600,141500,140000,137300,135200,134200,133800,132500,129500,125800,123800,123400,123800,124500,124500,123800,123600,124400,125300,125900,126500,127400,128400,128800,128300,127200,126800,126100,125400,125000,124500,123500,123400,123800,124000,125500,128000,129200,128700,128000,127900,128100,128700,129300,129600,129100,128900,128700,128900,130500,132400,133600,132700,130000,127800,128600,129900,129900,128500,126600,124600,124700,125500,126000,126700,128300,128700,128100,127100,126500,126000,125100,125300,126300,126300,125900,126500,127100,127000,126700,127200,129100,132000,134100,133700,131100,128600
Livingston,IL,Pontiac,66800,67700,68900,70500,72700,74500,75300,75800,76400,77000,77700,78600,79200,80000,81200,82600,83800,84500,84700,85200,85900,86000,85900,86100,86100,85700,85200,84700,84100,83400,82800,82400,82300,82500,82500,82700,83100,83200,82900,82800,82700,83000,84000,84900,85300,84900,84400,84100,84500,85100,85800,85500,84700,83500,82600,82000,82000,82100,82200,82100,82100,82200,82400,82800,81800,80400,80400,81400,81700,82400,83100,83600,83600,84200,84700,84500,84600,86200,87400,87700,88100,88000,88000,88900,89500,88900,87300,86400,86500,88100,89400,89100,88000,88400,88800,88200,88000,88700,89800,91500,94200,95100,94100,94000,94900,95300,95900,96300,96600,96500,96400,96000,95200,93900,93800,94100,94300,93600,93100,93400,93800,93800,93900,94000,94400,95200,95800,95900,96200,96900,97200,96500,95700,95800,96400,96200,95200,94300,93400,93300,94100,94700,95000,95500,95400,94800,94800,96400,98200,98900,98800,98500,98900,100100,101100,101300,102000,101800,100600,99000,96900,95600,95300,95100,92700,89700,88500,89900,91000,91500,91200,90700,90400,90300,90600,90700,90400,89400,88400,87000,86000,85900,86300,85300,83600,82300,81700,81600,82300,83500,84100,83900,83400,83200,83300,83700,84700,86000,86800,86600,86000,84900,84000,83200,82600,82100,82100,83000,84400,84600,83400,82200,82300,82800,82600,81800,81200,81200,81300,81100,80500,80000,79900,80100,80100,80500,80900,81100,81100,81100,80800,80000,79500,79400,79300,78900,78500,78400,78400,78400,78300,78100,78000,78500,79400,80300,80800,81600,82500,82400,81800,81600,81800,81900,81400,81200,81200,81000,80700
Bureau,IL,Ottawa,142000,142000,142000,142000,141900,141900,141900,141900,141900,142000,142000,142000,142000,142000,142000,142000,141900,141900,141900,141900,141900,142000,142000,142000,142000,142000,142000,142000,141900,141900,141900,141900,141900,142000,142000,142000,142000,142000,142000,142000,141900,141900,141900,141900,141900,142000,142000,142000,142000,142000,142000,142000,141900,141900,141900,141900,141900,142000,142000,142000,142000,142000,142000,142000,141900,141900,141900,141900,141900,141900,142000,142000,142000,142000,142000,142000,141900,141900,141900,141900,141900,141900,142000,142000,142000,142000,142000,141900,141900,141900,141900,142000,141900,141900,141900,142000,142000,142000,142000,141900,141900,141900,142000,142000,141900,141700,141700,141800,141900,141900,141900,141900,141900,141800,141800,142000,142000,141900,142000,142300,142300,142300,142300,142300,142000,141600,141500,141500,141500,141400,141400,141500,141600,141700,142000,142000,141700,141500,141600,141700,142800,144200,143900,142700,142800,143500,144100,144300,143600,142600,142200,142100,142000,141500,141000,140400,139700,139200,138800,137800,136300,134900,133800,132800,131900,130500,128900,127200,125700,124100,121600,120900,124300,127700,127100,124600,121900,119500,117500,115900,114500,113900,114200,115200,115500,116300,118600,121700,124600,129400,134500,137800,139700,142000,143600,143900,142500,140500,139000,138400,136600,133300,130300,129000,127700,126200,125700,125900,125700,124800,123400,122100,122000,122000,124200,128300,130800,130400,129200,126100,123100,122700,124600,125500,125400,125600,125500,125100,126100,127100,127700,128000,127300,126600,126700,125900,124400,123800,123300,122900,122600,122800,122900,123700,125300,126400,125500,125400,127400,129600,130400,130500,130800,130500,130500,131700,132900,132300,131200
